,Sleep Quality,Heart rate (bpm),Steps,Air Pressure (Pa),Movements per hour,Time in bed (seconds),Time asleep (seconds),Time before sleep (seconds),Snore time,Weather temperature (°F)
count,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0
mean,0.8204150943396227,1.0481132075471697,5521.809433962264,100.55962264150942,29.597264150943424,28953.706037735883,26476.651226415117,676.9512264150941,2.2566037735849056,44.910849056603794
std,0.1268884446761892,8.260772645982469,2612.7770683653957,9.435435982029128,18.058431078528862,5159.3761355190345,5119.201552510882,905.1561355348159,26.400242576459878,15.738781403641857
min,0.09,0.0,0.0,0.0,0.0,2708.5,2690.5,18.1,0.0,3.0
25%,0.76,0.0,3868.25,101.0,16.975,26236.3,23963.275,181.875,0.0,32.0
50%,0.84,0.0,5433.5,101.5,25.55,28638.85,26156.75,208.8,0.0,41.4
75%,0.91,0.0,7021.25,102.1,38.925,31517.925000000003,29010.725,977.5,0.0,57.05
max,1.0,84.0,23249.0,103.8,159.5,94492.2,92917.3,7223.9,606.0,83.1
